Time  FPS FVS FVT FDS SHD SB PIN WHB WHT
0.000000e+00 1340.044062 488760.345583 5897.576721 48124.820868 152550.902354 21.274938 536.153360 1384.896738 756.185723
1.000000e+00 1340.044062 488760.345583 5897.576721 48124.820868 152550.902354 21.274938 536.153360 1384.896738 756.185723
2.000000e+00 1340.044062 488760.345583 5897.576721 48124.820868 152550.902354 21.274938 536.153360 1384.896738 756.185723
3.000000e+00 1340.044062 488760.345583 5897.576721 48124.820868 152550.902354 21.274938 536.153360 1384.896738 756.185723
4.000000e+00 1340.044062 488760.345583 5897.576721 48124.820868 152550.902354 21.274938 536.153360 1384.896738 756.185723
5.000000e+00 1340.044062 488760.345583 5897.576721 48124.820868 152550.902354 21.274938 536.153360 1384.896738 756.185723
6.000000e+00 1340.044062 488760.345583 5897.576721 48124.820868 152550.902354 21.274938 536.153360 1384.896738 756.185723
7.000000e+00 1340.044062 488760.345583 5897.576721 48124.820868 152550.902354 21.274938 536.153360 1384.896738 756.185723
8.000000e+00 1340.044062 488760.345583 5897.576721 48124.820868 152550.902354 21.274938 536.153360 1384.896738 756.185723
9.000000e+00 1340.044062 0.000000 0.000000 48124.820868 152550.902354 21.274938 536.153360 1384.896738 756.185723
1.000000e+01 1340.044062 0.000000 0.000000 48124.820868 152550.902354 21.274938 536.153360 1384.896738 756.185723
1.100000e+01 1340.044062 5993.229605 3519.973562 48124.820868 152550.902354 21.274938 536.153360 1384.896738 756.185723
1.200000e+01 1340.044062 5993.229605 3519.973562 48124.820868 152550.902354 21.274938 536.153360 1384.896738 756.185723
1.300000e+01 1340.044062 5993.229605 3519.973562 48124.820868 152550.902354 21.274938 536.153360 1384.896738 756.185723
1.400000e+01 1340.044062 5993.229605 3519.973562 48124.820868 152550.902354 21.274938 536.153360 1384.896738 756.185723
1.500000e+01 1340.044062 5993.229605 3519.973562 48124.820868 152550.902354 21.274938 536.153360 1384.896738 756.185723
1.600000e+01 1340.044062 5993.229605 3519.973562 48124.820868 152550.902354 21.274938 536.153360 1384.896738 756.185723
1.700000e+01 1340.044062 5993.229605 3519.973562 48124.820868 152550.902354 21.274938 536.153360 1384.896738 756.185723
1.800000e+01 1340.044062 5993.229605 3519.973562 48124.820868 152550.902354 21.274938 536.153360 1384.896738 756.185723
1.900000e+01 1340.044062 5993.229605 3519.973562 48124.820868 152550.902354 21.274938 536.153360 1384.896738 756.185723
2.000000e+01 1340.044062 5993.229605 3519.973562 48124.820868 152550.902354 21.274938 536.153360 1384.896738 756.185723
2.100000e+01 1340.044062 5993.229605 3519.973562 48124.820868 152550.902354 21.274938 536.153360 1384.896738 756.185723
2.200000e+01 1340.044062 5993.229605 3519.973562 48124.820868 152550.902354 21.274938 536.153360 1384.896738 756.185723
2.300000e+01 1340.044062 5993.229605 3519.973562 48124.820868 152550.902354 21.274938 536.153360 1384.896738 756.185723
2.400000e+01 1340.044062 5993.229605 3519.973562 48124.820868 152550.902354 21.274938 536.153360 1384.896738 756.185723
2.500000e+01 1340.044062 5993.229605 3519.973562 48124.820868 152550.902354 21.274938 536.153360 1384.896738 756.185723
2.600000e+01 1340.044062 5993.229605 3519.973562 48124.820868 152550.902354 21.274938 536.153360 1384.896738 756.185723
2.700000e+01 1340.044062 5993.229605 3519.973562 48124.820868 152550.902354 21.274938 536.153360 1384.896738 756.185723
2.800000e+01 1340.044062 5993.229605 3519.973562 48124.820868 152550.902354 21.274938 536.153360 1384.896738 756.185723
2.900000e+01 1340.044062 5993.229605 3519.973562 48124.820868 152550.902354 21.274938 536.153360 1384.896738 756.185723
3.000000e+01 1340.044062 5993.229605 3519.973562 48124.820868 152550.902354 21.274938 536.153360 1384.896738 756.185723
3.100000e+01 1340.044062 5993.229605 3519.973562 48124.820868 152550.902354 21.274938 536.153360 1384.896738 756.185723
3.200000e+01 1340.044062 5993.229605 3519.973562 48124.820868 152550.902354 21.274938 536.153360 1384.896738 756.185723
