Time FPS-0 FVS-0 FVT-0 FDS-0 SHD-0 SB-0 PIN-0 WHB-0 WHT-0
0.000000e+00 1.216909 320044.036219 1892.113500 1525.244303 12122.186935 0.010147 14.411991 0.000000 28.956800
1.000000e+00 1.216909 320044.036219 1892.113500 1525.244303 12122.186935 0.010147 14.411991 0.000000 28.956800
2.000000e+00 1.216909 320044.036219 1892.113500 1525.244303 12122.186935 0.010147 14.411991 0.000000 28.956800
3.000000e+00 1.216909 320044.036219 1892.113500 1525.244303 12122.186935 0.010147 14.411991 0.000000 28.956800
4.000000e+00 1.216909 320044.036219 1892.113500 1525.244303 12122.186935 0.010147 14.411991 0.000000 28.956800
5.000000e+00 1.216909 320044.036219 1892.113500 1525.244303 12122.186935 0.010147 14.411991 0.000000 28.956800
6.000000e+00 1.216909 320044.036219 1892.113500 1525.244303 12122.186935 0.010147 14.411991 0.000000 28.956800
7.000000e+00 1.216909 320044.036219 1892.113500 1525.244303 12122.186935 0.010147 14.411991 0.000000 28.956800
8.000000e+00 1.216909 320044.036219 1892.113500 1525.244303 12122.186935 0.010147 14.411991 0.000000 28.956800
9.000000e+00 1.216909 320044.036219 1892.113500 1525.244303 12122.186935 0.010147 14.411991 0.000000 28.956800
1.000000e+01 1.216909 320044.036219 1892.113500 1525.244303 12122.186935 0.010147 14.411991 0.000000 28.956800
1.100000e+01 1.216909 320044.036219 1892.113500 1525.244303 12122.186935 0.010147 14.411991 0.000000 28.956800
1.200000e+01 1.216909 320044.036219 1892.113500 1525.244303 12122.186935 0.010147 14.411991 0.000000 28.956800
1.300000e+01 1.216909 20753492.360421 571.422720 1525.244303 12122.186935 0.010147 14.411991 0.000000 28.956800
1.400000e+01 1.216909 20753492.360421 571.422720 1525.244303 12122.186935 0.010147 14.411991 0.000000 28.956800
1.500000e+01 1.216909 20753492.360421 571.422720 1525.244303 12122.186935 0.010147 14.411991 0.000000 28.956800
1.600000e+01 1.216909 20753492.360421 571.422720 1525.244303 12122.186935 0.010147 14.411991 0.000000 28.956800
1.700000e+01 1.216909 20753492.360421 571.422720 1525.244303 12122.186935 0.010147 14.411991 0.000000 28.956800
1.800000e+01 1.216909 20753492.360421 571.422720 1525.244303 12122.186935 0.010147 14.411991 0.000000 28.956800
1.900000e+01 1.216909 20753492.360421 571.422720 1525.244303 12122.186935 0.010147 14.411991 0.000000 28.956800
2.000000e+01 1.216909 20753492.360421 571.422720 1525.244303 12122.186935 0.010147 14.411991 0.000000 28.956800
2.100000e+01 1.216909 20753492.360421 571.422720 1525.244303 12122.186935 0.010147 14.411991 0.000000 28.956800
2.200000e+01 1.216909 20753492.360421 571.422720 1525.244303 12122.186935 0.010147 14.411991 0.000000 28.956800
2.300000e+01 1.216909 20753492.360421 571.422720 1525.244303 12122.186935 0.010147 14.411991 0.000000 28.956800
2.400000e+01 1.216909 20753492.360421 571.422720 1525.244303 12122.186935 0.010147 14.411991 0.000000 28.956800
2.500000e+01 1.216909 20753492.360421 571.422720 1525.244303 12122.186935 0.010147 14.411991 0.000000 28.956800
2.600000e+01 1.216909 20753492.360421 571.422720 1525.244303 12122.186935 0.010147 14.411991 0.000000 28.956800
2.700000e+01 1.216909 20753492.360421 571.422720 1525.244303 12122.186935 0.010147 14.411991 0.000000 28.956800
2.800000e+01 1.216909 20753492.360421 571.422720 1525.244303 12122.186935 0.010147 14.411991 0.000000 28.956800
2.900000e+01 1.216909 20753492.360421 571.422720 1525.244303 12122.186935 0.010147 14.411991 0.000000 28.956800
3.000000e+01 1.216909 20753492.360421 571.422720 1525.244303 12122.186935 0.010147 14.411991 0.000000 28.956800
3.100000e+01 1.216909 20753492.360421 571.422720 1525.244303 12122.186935 0.010147 14.411991 0.000000 28.956800
3.200000e+01 1.216909 20753492.360421 571.422720 1525.244303 12122.186935 0.010147 14.411991 0.000000 28.956800
3.300000e+01 1.216909 20753492.360421 571.422720 1525.244303 12122.186935 0.010147 14.411991 0.000000 28.956800
3.400000e+01 1.216909 20753492.360421 571.422720 1525.244303 12122.186935 0.010147 14.411991 0.000000 28.956800
3.500000e+01 1.216909 20753492.360421 571.422720 1525.244303 12122.186935 0.010147 14.411991 0.000000 28.956800
3.600000e+01 1.216909 20753492.360421 571.422720 1525.244303 12122.186935 0.010147 14.411991 0.000000 28.956800
3.700000e+01 1.216909 20753492.360421 571.422720 1525.244303 12122.186935 0.010147 14.411991 0.000000 28.956800
3.800000e+01 1.216909 20753492.360421 571.422720 1525.244303 12122.186935 0.010147 14.411991 0.000000 28.956800
3.900000e+01 1.216909 20753492.360421 571.422720 1525.244303 12122.186935 0.010147 14.411991 0.000000 28.956800
4.000000e+01 1.216909 20753492.360421 571.422720 1525.244303 12122.186935 0.010147 14.411991 0.000000 28.956800
4.100000e+01 1.216909 20753492.360421 571.422720 1525.244303 12122.186935 0.010147 14.411991 0.000000 28.956800
4.200000e+01 1.216909 20753492.360421 571.422720 1525.244303 12122.186935 0.010147 14.411991 0.000000 28.956800
4.300000e+01 1.216909 20753492.360421 571.422720 1525.244303 12122.186935 0.010147 14.411991 0.000000 28.956800
4.400000e+01 1.216909 20753492.360421 571.422720 1525.244303 12122.186935 0.010147 14.411991 0.000000 28.956800
4.500000e+01 1.216909 20753492.360421 571.422720 1525.244303 12122.186935 0.010147 14.411991 0.000000 28.956800
4.600000e+01 1.216909 20753492.360421 571.422720 1525.244303 12122.186935 0.010147 14.411991 0.000000 28.956800
4.700000e+01 1.216909 20753492.360421 571.422720 1525.244303 12122.186935 0.010147 14.411991 0.000000 28.956800
4.800000e+01 1.216909 20753492.360421 571.422720 1525.244303 12122.186935 0.010147 14.411991 0.000000 28.956800
4.900000e+01 1.216909 20753492.360421 571.422720 1525.244303 12122.186935 0.010147 14.411991 0.000000 28.956800
5.000000e+01 1.216909 20753492.360421 571.422720 1525.244303 12122.186935 0.010147 14.411991 0.000000 28.956800
5.100000e+01 1.216909 20753492.360421 571.422720 1525.244303 12122.186935 0.010147 14.411991 0.000000 28.956800
5.200000e+01 1.216909 20753492.360421 571.422720 1525.244303 12122.186935 0.010147 14.411991 0.000000 28.956800
5.300000e+01 1.216909 20753492.360421 571.422720 1525.244303 12122.186935 0.010147 14.411991 0.000000 28.956800
5.400000e+01 1.216909 20753492.360421 571.422720 1525.244303 12122.186935 0.010147 14.411991 0.000000 28.956800
5.500000e+01 1.216909 20753492.360421 571.422720 1525.244303 12122.186935 0.010147 14.411991 0.000000 28.956800
5.600000e+01 1.216909 20753492.360421 571.422720 1525.244303 12122.186935 0.010147 14.411991 0.000000 28.956800
5.700000e+01 1.216909 20753492.360421 571.422720 1525.244303 12122.186935 0.010147 14.411991 0.000000 28.956800
5.800000e+01 1.216909 20753492.360421 571.422720 1525.244303 12122.186935 0.010147 14.411991 0.000000 28.956800
5.900000e+01 1.216909 20753492.360421 571.422720 1525.244303 12122.186935 0.010147 14.411991 0.000000 28.956800
6.000000e+01 1.216909 20753492.360421 571.422720 1525.244303 12122.186935 0.010147 14.411991 0.000000 28.956800
6.100000e+01 1.216909 20753492.360421 571.422720 1525.244303 12122.186935 0.010147 14.411991 0.000000 28.956800
6.200000e+01 1.216909 20753492.360421 571.422720 1525.244303 12122.186935 0.010147 14.411991 0.000000 28.956800
6.300000e+01 1.216909 20753492.360421 571.422720 1525.244303 12122.186935 0.010147 14.411991 0.000000 28.956800
6.400000e+01 1.216909 20753492.360421 571.422720 1525.244303 12122.186935 0.010147 14.411991 0.000000 28.956800
6.500000e+01 1.216909 20753492.360421 571.422720 1525.244303 12122.186935 0.010147 14.411991 0.000000 28.956800
6.600000e+01 1.216909 20753492.360421 571.422720 1525.244303 12122.186935 0.010147 14.411991 0.000000 28.956800
6.700000e+01 1.216909 20753492.360421 571.422720 1525.244303 12122.186935 0.010147 14.411991 0.000000 28.956800
6.800000e+01 1.216909 20753492.360421 571.422720 1525.244303 12122.186935 0.010147 14.411991 0.000000 28.956800
6.900000e+01 1.216909 20753492.360421 571.422720 1525.244303 12122.186935 0.010147 14.411991 0.000000 28.956800
7.000000e+01 1.216909 20753492.360421 571.422720 1525.244303 12122.186935 0.010147 14.411991 0.000000 28.956800
7.100000e+01 1.216909 20753492.360421 571.422720 1525.244303 12122.186935 0.010147 14.411991 0.000000 28.956800
7.200000e+01 1.216909 20753492.360421 571.422720 1525.244303 12122.186935 0.010147 14.411991 0.000000 28.956800
7.300000e+01 1.216909 20753492.360421 571.422720 1525.244303 12122.186935 0.010147 14.411991 0.000000 28.956800
7.400000e+01 1.216909 20753492.360421 571.422720 1525.244303 12122.186935 0.010147 14.411991 0.000000 28.956800
7.500000e+01 1.216909 20753492.360421 571.422720 1525.244303 12122.186935 0.010147 14.411991 0.000000 28.956800
7.600000e+01 1.216909 20753492.360421 571.422720 1525.244303 12122.186935 0.010147 14.411991 0.000000 28.956800
7.700000e+01 1.216909 20753492.360421 571.422720 1525.244303 12122.186935 0.010147 14.411991 0.000000 28.956800
7.800000e+01 1.216909 20753492.360421 571.422720 1525.244303 12122.186935 0.010147 14.411991 0.000000 28.956800
7.900000e+01 1.216909 20753492.360421 571.422720 1525.244303 12122.186935 0.010147 14.411991 0.000000 28.956800
8.000000e+01 1.216909 20753492.360421 571.422720 1525.244303 12122.186935 0.010147 14.411991 0.000000 28.956800
8.100000e+01 1.216909 20753492.360421 571.422720 1525.244303 12122.186935 0.010147 14.411991 0.000000 28.956800
8.200000e+01 1.216909 20753492.360421 571.422720 1525.244303 12122.186935 0.010147 14.411991 0.000000 28.956800
8.300000e+01 1.216909 20753492.360421 571.422720 1525.244303 12122.186935 0.010147 14.411991 0.000000 28.956800
8.400000e+01 1.216909 20753492.360421 571.422720 1525.244303 12122.186935 0.010147 14.411991 0.000000 28.956800
8.500000e+01 1.216909 20753492.360421 571.422720 1525.244303 12122.186935 0.010147 14.411991 0.000000 28.956800
8.600000e+01 1.216909 20753492.360421 571.422720 1525.244303 12122.186935 0.010147 14.411991 0.000000 28.956800
8.700000e+01 1.216909 20753492.360421 571.422720 1525.244303 12122.186935 0.010147 14.411991 0.000000 28.956800
8.800000e+01 1.216909 20753492.360421 571.422720 1525.244303 12122.186935 0.010147 14.411991 0.000000 28.956800
8.900000e+01 1.216909 20753492.360421 571.422720 1525.244303 12122.186935 0.010147 14.411991 0.000000 28.956800
9.000000e+01 1.216909 20753492.360421 571.422720 1525.244303 12122.186935 0.010147 14.411991 0.000000 28.956800
9.100000e+01 1.216909 20753492.360421 571.422720 1525.244303 12122.186935 0.010147 14.411991 0.000000 28.956800
9.200000e+01 1.216909 20753492.360421 571.422720 1525.244303 12122.186935 0.010147 14.411991 0.000000 28.956800
9.300000e+01 1.216909 20753492.360421 571.422720 1525.244303 12122.186935 0.010147 14.411991 0.000000 28.956800
9.400000e+01 1.216909 20753492.360421 571.422720 1525.244303 12122.186935 0.010147 14.411991 0.000000 28.956800
9.500000e+01 1.216909 20753492.360421 571.422720 1525.244303 12122.186935 0.010147 14.411991 0.000000 28.956800
9.600000e+01 1.216909 20753492.360421 571.422720 1525.244303 12122.186935 0.010147 14.411991 0.000000 28.956800
9.700000e+01 1.216909 20753492.360421 571.422720 1525.244303 12122.186935 0.010147 14.411991 0.000000 28.956800
9.800000e+01 1.216909 20753492.360421 571.422720 547709.207508 12122.186935 0.010147 14.411991 0.000000 28.956800
9.900000e+01 1.216909 20753492.360421 571.422720 547709.207508 12122.186935 0.010147 14.411991 0.000000 28.956800
9.950000e+01 1.216909 20753492.360421 571.422720 547709.207508 12122.186935 0.010147 14.411991 0.000000 28.956800
