Time Predator Cohort Stock Updated FPS FVS FVT FDS SHD SB PIN WHB WHT CEP BFS BFF BG BML BMS ZL BD MA SG BC ZG PL PS ZM ZS PB BB BO DL DR DC
1.000000e+00 FPS 0 0 0 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 9.986321e-03 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.489094e-02 9.045733e-01 2.038009e-03 2.934867e-02 1.711236e-04 0.000000e+00 0.000000e+00 3.886819e-02 9.717048e-05 0.000000e+00
1.000000e+00 FPS 1 0 0 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.323983e-02 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 2.027208e-02 8.724205e-01 2.697463e-03 3.843006e-02 2.314791e-04 0.000000e+00 0.000000e+00 5.257706e-02 1.314426e-04 0.000000e+00
1.000000e+00 FPS 2 0 0 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.597244e-02 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 2.523232e-02 8.452167e-01 3.242428e-03 4.511136e-02 2.851935e-04 0.000000e+00 0.000000e+00 6.477750e-02 1.619437e-04 0.000000e+00
1.000000e+00 FPS 3 0 0 2.680066e-08 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.076702e-02 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 2.543673e-02 8.491162e-01 3.278537e-03 4.560974e-02 2.876728e-04 0.000000e+00 0.000000e+00 6.534064e-02 1.633516e-04 0.000000e+00
1.000000e+00 FPS 4 0 0 2.680066e-08 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.076702e-02 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 2.543673e-02 8.491162e-01 3.278537e-03 4.560974e-02 2.876728e-04 0.000000e+00 0.000000e+00 6.534064e-02 1.633516e-04 0.000000e+00
1.000000e+00 FPS 5 0 0 9.184462e-08 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.076702e-02 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 2.543673e-02 8.491161e-01 3.278536e-03 4.560974e-02 2.876728e-04 0.000000e+00 0.000000e+00 6.534063e-02 1.633516e-04 0.000000e+00
1.000000e+00 FPS 6 0 0 8.739758e-08 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.018952e-02 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 2.384117e-02 8.574257e-01 3.106507e-03 4.356882e-02 2.705169e-04 0.000000e+00 0.000000e+00 6.144393e-02 1.536098e-04 0.000000e+00
1.000000e+00 FPS 7 0 0 8.739758e-08 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.018952e-02 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 2.384117e-02 8.574257e-01 3.106507e-03 4.356882e-02 2.705169e-04 0.000000e+00 0.000000e+00 6.144393e-02 1.536098e-04 0.000000e+00
1.000000e+00 FPS 8 0 0 8.267157e-08 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 9.566272e-03 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 2.216017e-02 8.663635e-01 2.920123e-03 4.128926e-02 2.522937e-04 0.000000e+00 0.000000e+00 5.730480e-02 1.432620e-04 0.000000e+00
1.000000e+00 FPS 9 0 0 8.267156e-08 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 9.566271e-03 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 2.216017e-02 8.663634e-01 2.920122e-03 4.128925e-02 2.522937e-04 0.000000e+00 0.000000e+00 5.730479e-02 1.432620e-04 0.000000e+00
