Time Box FPS FVS FVT FDS SHD SB PIN WHB WHT CEP BFS BFF BG BML BMS ZL BD MA SG BC ZG PL PS ZM ZS PB BB BO DL DR DC
0.000000e+00 0 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
0.000000e+00 1 2.533091e+02 8.362999e+03 1.027180e+03 1.985985e+04 3.496072e+04 1.418640e-01 1.807574e+02 0.000000e+00 1.429053e+02 1.986823e+02 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 2.402250e+04 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 9.934115e+03 8.492536e+04 7.037796e+06 1.318528e+04 1.002442e+05 9.934115e+02 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
0.000000e+00 2 1.808384e+02 4.504892e+05 1.194934e+03 1.087667e+04 3.975278e+04 1.418640e-01 1.269539e+02 0.000000e+00 1.020296e+02 7.089401e+02 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 2.294167e+04 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 3.544701e+04 3.462381e+05 2.723037e+06 1.381368e+04 3.552307e+05 3.544701e+03 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
0.000000e+00 3 2.537317e+02 8.376953e+03 1.045785e+03 1.738263e+04 6.421125e+04 1.418640e-01 1.810589e+02 0.000000e+00 1.432325e+02 6.957278e+02 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 2.345731e+04 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 3.478639e+04 2.730476e+05 3.212706e+06 1.405558e+04 3.486474e+05 3.478639e+03 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
0.000000e+00 4 3.400261e+02 1.122596e+04 1.370097e+03 3.493525e+00 2.181509e+03 1.418640e-01 3.216813e+01 0.000000e+00 1.919084e+02 3.454088e+04 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 3.929025e+05 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.727044e+06 1.138756e+06 1.272520e+07 2.892799e+05 1.727907e+07 1.727044e+05 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
0.000000e+00 5 3.121388e+02 1.030526e+04 1.259581e+03 2.180805e+00 1.144464e+04 1.418640e-01 1.521508e+01 0.000000e+00 1.761099e+02 3.878612e+04 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 4.411921e+05 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.939306e+06 1.197765e+06 3.086871e+07 3.248337e+05 1.940276e+07 1.939306e+05 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
0.000000e+00 6 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
0.000000e+00 7 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
0.000000e+00 8 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
0.000000e+00 9 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
0.000000e+00 10 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
1.000000e+00 0 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
1.000000e+00 1 4.556007e+02 2.454451e+05 3.541275e+02 1.559831e+04 5.186731e+04 1.099725e-01 4.051259e+02 1.360391e-13 1.734197e+02 1.048218e+04 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 2.402250e+04 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 9.934115e+03 8.478567e+04 7.037595e+06 1.318528e+04 1.002442e+05 9.929148e+02 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 9.798816e-12
1.000000e+00 2 3.350005e+02 9.812680e+04 2.537846e+02 1.316606e+04 5.034180e+04 8.727451e-02 5.370420e+01 1.700489e-13 1.226021e+02 1.073731e+04 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 2.294167e+04 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 3.544701e+04 3.460762e+05 2.722960e+06 1.381368e+04 3.552307e+05 3.542929e+03 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 3.533305e-11
1.000000e+00 3 3.350005e+02 1.450520e+05 3.382234e+02 1.649010e+04 5.034180e+04 1.201929e-01 7.732324e+01 1.700489e-13 1.737119e+02 1.073071e+04 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 2.345731e+04 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 3.478639e+04 2.729182e+05 3.212614e+06 1.405558e+04 3.486474e+05 3.476900e+03 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 3.466901e-11
1.000000e+00 4 1.072002e+02 9.265982e+01 3.215935e+03 1.331952e+03 0.000000e+00 1.707860e-01 0.000000e+00 2.040586e-13 1.922152e+02 4.020381e+04 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 4.610560e+05 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 2.026620e+06 2.398884e+06 1.274216e+07 3.394588e+05 2.027633e+07 3.672449e+05 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 3.672992e-09
1.000000e+00 5 1.072002e+02 4.382710e+01 1.735507e+03 1.538406e+03 0.000000e+00 2.210940e-01 0.000000e+00 2.040586e-13 9.423673e+01 3.686219e+04 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 4.888748e+05 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 2.148900e+06 2.039979e+06 3.088006e+07 3.599408e+05 2.149975e+07 3.300018e+05 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 3.300216e-09
1.000000e+00 6 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
1.000000e+00 7 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
1.000000e+00 8 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
1.000000e+00 9 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
1.000000e+00 10 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
2.000000e+00 0 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
2.000000e+00 1 4.555864e+02 2.454451e+05 3.541275e+02 1.559831e+04 5.186731e+04 1.099725e-01 4.051259e+02 1.360391e-13 1.734197e+02 1.905153e+04 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 2.402250e+04 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 9.934115e+03 8.464408e+04 7.037394e+06 1.318528e+04 1.002442e+05 9.924184e+02 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 9.799131e-12
2.000000e+00 2 3.349900e+02 9.812680e+04 2.537846e+02 1.316606e+04 5.034180e+04 8.727451e-02 5.370420e+01 1.700489e-13 1.226021e+02 1.905153e+04 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 2.294167e+04 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 3.544701e+04 3.459143e+05 2.722882e+06 1.381368e+04 3.552307e+05 3.541158e+03 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 3.533331e-11
2.000000e+00 3 3.349900e+02 1.450520e+05 3.382234e+02 1.649010e+04 5.034180e+04 1.201929e-01 7.732324e+01 1.700489e-13 1.737119e+02 1.905153e+04 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 2.345731e+04 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 3.478639e+04 2.727887e+05 3.212523e+06 1.405558e+04 3.486474e+05 3.475162e+03 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 3.466929e-11
2.000000e+00 4 1.071968e+02 9.265982e+01 3.215935e+03 1.331952e+03 0.000000e+00 1.707860e-01 0.000000e+00 2.040586e-13 1.922152e+02 6.350881e+03 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 4.610560e+05 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 2.026620e+06 2.398719e+06 1.274179e+07 3.394588e+05 2.027633e+07 3.670613e+05 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 3.672995e-09
2.000000e+00 5 1.071968e+02 4.382710e+01 1.735507e+03 1.538406e+03 0.000000e+00 2.210940e-01 0.000000e+00 2.040586e-13 9.423673e+01 7.056457e+03 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 4.888748e+05 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 2.148900e+06 2.039808e+06 3.087918e+07 3.599408e+05 2.149975e+07 3.298368e+05 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 3.300219e-09
2.000000e+00 6 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
2.000000e+00 7 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
2.000000e+00 8 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
